ticker,as_of,book_value_per_share,earnings_per_share,return_on_equity
CCL,2017-09-29,45.29670757343017,3.8104395604395602,0.11394226601904905
CCL,2018-01-29,45.33374990861082,3.619917582417582,0.10791044518745213
CCL,2018-03-22,45.6290794651173,2.2146067415730335,0.06576734172105227
CCL,2018-06-25,45.104570460278225,2.682044198895028,0.08013046550533684
CCL,2018-09-27,46.795034667587245,4.986996336996337,0.14419863957464346
CCL,2019-01-28,46.40606322944299,4.462225274725275,0.12930734118804324
CCL,2019-04-09,46.00180906037596,1.9685393258426964,0.05684491267232735
CCL,2019-06-24,45.745682981718645,2.2988950276243094,0.06583060390306238
CCL,2019-09-26,47.99307931258307,4.973626373626374,0.13568173935835529
CCL,2020-01-28,48.06891897033984,4.351923076923077,0.11820281039677846
CCL,2020-04-03,46.01967861326661,-4.623333333333333,-0.1303988838570971
CCL,2020-07-10,34.69497214348345,-14.72032967032967,-0.49608081457889514
CCL,2020-10-08,27.06613140203364,-14.693248175182482,-0.5473816306007199
CCL,2021-01-26,0.02204323796945649,-13.2,-0.4979810265142301
CCL,2021-04-07,20.351489921966433,-7.382022471910112,-0.40839432967912903
CCL,2021-06-28,18.356489991717883,-7.320165745856354,-0.4563126090229933
CCL,2021-09-30,15.150118176680923,-8.209157509157508,-0.6189781198191343
CCL,2022-01-27,12.311885698278061,-8.483241758241759,-0.7845110052990488
CCL,2022-03-28,10.41829935694631,-6.807865168539325,-0.752131191843771
CCL,2022-06-29,8.30471101110282,-6.594198895027625,-0.9096557997672335
CCL,2022-09-30,7.530285572397483,-5.200915750915751,-0.7172453198231931
CCL,2023-01-27,6.34497528227989,-5.1741758241758244,-0.8647896689297963
CCL,2023-03-29,5.528603850728854,-2.25561797752809,-0.4606286307431755
CCL,2023-06-28,5.240043394885543,-1.7544198895027625,-0.3782151823016019
CCL,2023-09-29,6.217365369645968,-0.02673992673992674,-0.0049945265462506844
CCL,2024-01-26,6.147686351606305,-0.06016483516483516,-0.010782228524164009
CCL,2024-03-27,5.9537364879473715,-0.6894444444444444,-0.12988459875619407
CCL,2024-06-27,6.070623272031697,-0.20054945054945056,-0.03620132435806049
CCL,2024-09-30,7.448676139087261,1.6917883211678832,0.24993653362359475
