ticker,gics_sector,n_test_bars,n_trades,total_return,sharpe
RMD,Health Care,132,5,0.0058290334810242594,0.7646552437666548
TFC,Financials,132,6,0.006803234630323951,0.7621874865125613
NTRS,Financials,132,4,0.007976799446308913,0.7616720321086687
KLAC,Information Technology,132,70,0.038432527448027276,0.7399085573167972
LUV,Industrials,132,55,0.024846775873743843,0.7360757040420206
CPAY,Financials,132,35,0.020584876377568007,0.7355980901565521
LRCX,Information Technology,132,82,0.03827543948832535,0.7258789121523261
EBAY,Consumer Discretionary,132,27,0.016375605389265635,0.7090447394481393
NXPI,Information Technology,132,42,0.021053297555873485,0.702054774367729
STT,Financials,132,4,0.006034368099013365,0.6992099688905946
J,Industrials,132,14,0.010094952209085628,0.6979775644159486
SWKS,Information Technology,132,53,0.02520556146404096,0.6783536488326192
AVGO,Information Technology,132,68,0.02753364231579325,0.6742821674143734
DASH,Consumer Discretionary,132,70,0.02767770275223791,0.6719868917567009
AKAM,Information Technology,132,59,0.03454101097647233,0.6309153396854846
PFE,Health Care,132,3,0.008174381606925074,0.6120596531197365
INCY,Health Care,132,11,0.008871646103524089,0.6032001264687863
ALGN,Health Care,132,31,0.01981807788953005,0.5925506218247611
DAL,Industrials,132,32,0.012703796318936478,0.592019976420361
EXPE,Consumer Discretionary,132,54,0.01822595176581454,0.5909768956439988
SBAC,Real Estate,132,17,0.012804774395826168,0.5872033644161724
PHM,Consumer Discretionary,132,9,0.008518997568564668,0.5799211937392112
F,Consumer Discretionary,132,34,0.01646340475664454,0.5794911135656847
CHRW,Industrials,132,27,0.011685849122548664,0.5503262462660214
IBKR,Financials,132,40,0.016749531823385677,0.5417390957742644
SPGI,Financials,132,12,0.007967361061270495,0.5317847595602858
BALL,Materials,132,9,0.006818676218494968,0.5265448376706174
TRV,Financials,132,3,0.002470060223998205,0.49937354289496416
EFX,Industrials,132,31,0.01306745104500262,0.49612119785798997
GE,Industrials,132,12,0.006364747164393059,0.4893320527476614
CTVA,Materials,132,8,0.004188941996688067,0.48720554458210025
PFG,Financials,132,7,0.00444151330919218,0.47726200215375464
VST,Utilities,132,55,0.016215194386360876,0.4756374640805714
DHI,Consumer Discretionary,132,11,0.006856095069086132,0.46915427486968847
